id,name,name_with_place,municipality,locality,modes,lines,line_count,has_bus,has_rail
de:08111:2540,Frauenkopf,Frauenkopf,Stuttgart,Stuttgart,Bus,64,1,True,False
de:08111:6286,Freiberg Schulzentrum,Freiberg Schulzentrum,Stuttgart,Stuttgart,Bus,99,1,True,False
de:08111:198,Freihofplatz,Freihofplatz,Stuttgart,Stuttgart,Bus,98,1,True,False
de:08111:361,Freytagweg,Freytagweg,Stuttgart,Stuttgart,Bus; Nachtbus,"72, N9",2,True,False
de:08111:2436,Fridinger Straße,Fridinger Straße,Stuttgart,Stuttgart,Bus,66,1,True,False
de:08111:303,Friedhofstraße,Friedhofstraße,Stuttgart,Stuttgart,Nachtbus,"N3, N4",2,True,False
de:08111:6328,Fritz-Walter-Weg,Fritz-Walter-Weg,Stuttgart,Stuttgart,Bus,45,1,True,False
de:08111:2188,Fuchsrain,Fuchsrain,Stuttgart,Stuttgart,Bus,45,1,True,False
de:08111:2402,Gaußstraße,Gaußstraße,Stuttgart,Stuttgart,Bus; Nachtbus,"40, N2",2,True,False
de:08111:5868,Gehrenwald,Gehrenwald,Stuttgart,Stuttgart,Bus; Nachtbus,"60, N6",2,True,False
de:08111:2408,Geibelstraße,Geibelstraße,Stuttgart,Stuttgart,Bus,"40, 50",2,True,False
de:08111:207,Generationenhaus,Generationenhaus,Stuttgart,Stuttgart,Bus,98,1,True,False
de:08111:2346,Generatorstraße,Generatorstraße,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:2620,Gerlinger Straße,Gerlinger Straße,Stuttgart,Stuttgart,Bus; Nachtbus,"90, N3",2,True,False
de:08111:2699,Gewerbestraße,Gewerbestraße,Stuttgart,Stuttgart,Bus,80,1,True,False
de:08111:2537,Glaunerweg,Glaunerweg,Stuttgart,Stuttgart,Bus; Nachtbus,"65, N7",2,True,False
de:08111:195,Greut,Greut,Stuttgart,Stuttgart,Bus,98,1,True,False
de:08111:2630,Greutterstraße,Greutterstraße,Stuttgart,Stuttgart,Bus,90,1,True,False
de:08111:6203,Gründgensstraße,Gründgensstraße,Stuttgart,Stuttgart,Bus,84,1,True,False
de:08111:2562,Grünlingweg,Grünlingweg,Stuttgart,Stuttgart,Bus,70,1,True,False
de:08111:2186,Grünlingweg/Rotwiesenstraße,Grünlingweg/Rotwiesenstraße,Stuttgart,Stuttgart,Bus,"70, 71",2,True,False
de:08111:3997,Hafenbahnstraße (FOB),Hafenbahnstr. (FOB),Stuttgart,Stuttgart,Bus,103,1,True,False
de:08111:2700,Handwerkstraße,Handwerkstraße,Stuttgart,Stuttgart,Bus,80,1,True,False
