Linienname;Überschrift;Betriebszweig;DIVA-Name;Globale ID;
"246";"Schorndorf Bf - Erlensiedlung -
Wiesenstraße";"31";"31246_";"de:vvs:31246_:";
"247";"Schorndorf Bahnhof - Grauhalde - Alte Steige -
Neuer Friedhof - Bahnhof";"31";"31247_";"de:vvs:31247_:";
"248";"Schorndorf - Urbach - Plüderhausen";"31";"31248_";"de:vvs:31248_:";
"249";"Schorndorf - Urbach Banrain - Urbach Bf";"31";"31249_";"de:vvs:31249_:";
"250";"(Welzheim -) Walkersbach - Waldhausen";"31";"31250_";"de:vvs:31250_:";
"257";"Welzheim - Gschwend";"31";"31257_";"de:vvs:31257_:";
"257";"Welzheim - Gschwend";"31";"31257_";"de:vvs:31257_:";
"262";"Plochingen - Reichenbach (F) - Schorndorf";"31";"31262_";"de:vvs:31262_:";
"263";"Schorndorf - Welzheim - Kaisersbach";"31";"31263_";"de:vvs:31263_:";
"263";"Schorndorf - Welzheim - Kaisersbach";"31";"31263_";"de:vvs:31263_:";
"264";"Welzheim - Kaisersbach";"31";"31264_";"de:vvs:31264_:";
"264";"Welzheim - Kaisersbach";"31";"31264_";"de:vvs:31264_:";
"266";"Welzheim - Alfdorf";"31";"31266_";"de:vvs:31266_:";
"266";"Welzheim - Alfdorf";"31";"31266_";"de:vvs:31266_:";
"266A";"Welzheim - Alfdorf - Mutlangen - Schwäbisch Gmünd";"31";"31266a";"de:vvs:31266a:";
"269";"Alfdorf - Vordersteinenberg";"31";"31269_";"de:vvs:31269_:";
"330";"Welzheim - Rudersberg - Oppelsbohm
Rems-Murr-Klinikum - Winnenden";"31";"31330_";"de:vvs:31330_:";
"330";"Welzheim - Rudersberg - Oppelsbohm
Rems-Murr-Klinikum - Winnenden";"31";"31330_";"de:vvs:31330_:";
