Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Relationscode;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate;
"Hoffeld";"Hoffeld";"2569";"de:08111:2569";08111000;"Stuttgart";"Stuttgart";"S";"920";"20,1";"Bus;Nachtbus";"70,71,N8";"30070_,30071_,33008_";3;"30,33";9,1812495;48,7344392;
"Kaserne Möhringen (Karlshof)";"Kaserne Möhringen (Karlshof)";"2572";"de:08111:2572";08111000;"Stuttgart";"Stuttgart";"S";"920";"20,1";"Bus;Nachtbus";"71,74,76,N8";"30071_,30074_,30076_,33008_";4;"30,33";9,1858281;48,7263387;
"Asemwald";"Asemwald";"2573";"de:08111:2573";08111000;"Stuttgart";"Stuttgart";"S";"920";"20,1";"Bus;Nachtbus";"71,74,76,N8";"30071_,30074_,30076_,33008_";4;"30,33";9,1924060;48,7261660;
"Taldorfer Straße";"Taldorfer Straße";"2574";"de:08111:2574";08111000;"Stuttgart";"Stuttgart";"S";"820";"20,1";"Bus";"70,71";"30070_,30071_";2;"30";9,2047351;48,7297507;
"Schönberg";"Schönberg";"2575";"de:08111:2575";08111000;"Stuttgart";"Stuttgart";"S";"820";"20,1";"Bus";"70,71";"30070_,30071_";2;"30";9,2026548;48,7329917;
"Dürnauer Weg";"Dürnauer Weg";"2576";"de:08111:2576";08111000;"Stuttgart";"Stuttgart";"S";"820";"20,1";"Bus;Nachtbus";"71,74,76,N8";"30071_,30074_,30076_,33008_";4;"30,33";9,2035834;48,7239526;
"Im Elsental";"Im Elsental";"2578";"de:08111:2578";08111000;"Stuttgart";"Stuttgart";"S";"022";"20,1";"Bus;Nachtbus";"82,N1";"30082_,33001_";2;"30,33";9,1267758;48,7447547;
"Ob dem Steinbach";"Ob dem Steinbach";"2579";"de:08111:2579";08111000;"Stuttgart";"Stuttgart";"S";"237";"20,36,37,1,2";"Bus;Nachtbus";"81,84,91,92,N1";"30081_,30084_,30091_,30092_,33001_";5;"30,33";9,0838715;48,7496500;
"Johannesgraben";"Johannesgraben";"2580";"de:08111:2580";08111000;"Stuttgart";"Stuttgart";"S";"022";"20,1";"Bus;Nachtbus";"82,84,91,92,N1";"30082_,30084_,30091_,30092_,33001_";5;"30,33";9,1054037;48,7394978;
"Kurt-Schumacher-Straße";"Kurt-Schumacher-Straße";"2581";"de:08111:2581";08111000;"Stuttgart";"Stuttgart";"S";"538";"20,38,1,2";"Bus;Nachtbus";"72,N9";"30072_,33009_";2;"30,33";9,1521998;48,7124679;
"Berufsbildungszentrum";"Berufsbildungszentrum";"2582";"de:08111:2582";08111000;"Stuttgart";"Stuttgart";"S";"322";"20,1";"Bus;Nachtbus";"80,N10";"30080_,33010_";2;"30,33";9,1228905;48,7239774;
"Möhringen Rathaus";"Möhringen Rathaus";"2583";"de:08111:2583";08111000;"Stuttgart";"Stuttgart";"S";"222";"20,1";"Bus;Nachtbus";"72,N9";"30072_,33009_";2;"30,33";9,1470102;48,7267906;
"Europaplatz";"Europaplatz";"2584";"de:08111:2584";08111000;"Stuttgart";"Stuttgart";"S";"538";"20,38,1,2";"Bus;Nachtbus;Stadtbahn";"U6,72,N9";"20006_,30072_,33009_";3;"20,30,33";9,1602976;48,7121781;
"Jelinstraße";"Jelinstraße";"2585";"de:08111:2585";08111000;"Stuttgart";"Möhringen";"S";"222";"20,1";"Bus;Nachtbus";"72,N9";"30072_,33009_";2;"30,33";9,1462392;48,7234195;
"EnBW City";"EnBW City";"2586";"de:08111:2586";08111000;"Stuttgart";"Stuttgart";"S";"538";"20,38,1,2";"Bus;Stadtbahn";"U6,X4,X7,77";"20006_,30034_,30037_,30077_";4;"20,30";9,1674707;48,7117272;
"Heigelinstraße";"Heigelinstraße";"2587";"de:08111:2587";08111000;"Stuttgart";"Stuttgart";"S";"538";"20,38,1,2";"Bus";"X4,X7";"30034_,30037_";2;"30";9,1652510;48,7143922;
"Max-Planck-Institute";"Max-Planck-Institute";"2589";"de:08111:2589";08111000;"Stuttgart";"Stuttgart";"S";"237";"20,36,37,1,2";"Bus;Nachtbus";"81,84,91,92,747,748,X74,N1,N63";"30081_,30084_,30091_,30092_,31747_,31748_,31X74_,33001_,34063_";9;"30,31,33,34";9,0842477;48,7469700;
"Büsnauer Platz";"Büsnauer Platz";"2590";"de:08111:2590";08111000;"Stuttgart";"Stuttgart";"S";"237";"20,36,37,1,2";"Bus;Nachtbus";"81,91,N1";"30081_,30091_,33001_";3;"30,33";9,0803090;48,7498145;
"Lauchhau";"Lauchhau";"2591";"de:08111:2591";08111000;"Stuttgart";"Stuttgart";"S";"022";"20,1";"Bus;Nachtbus";"81,82,84,91,92,747,748,X74,N1,N63";"30081_,30082_,30084_,30091_,30092_,31747_,31748_,31X74_,33001_,34063_";10;"30,31,33,34";9,0927854;48,7387174;
"Am Feldrand";"Am Feldrand";"2592";"de:08111:2592";08111000;"Stuttgart";"Stuttgart";"S";"022";"20,1";"Bus;Nachtbus";"81,N1";"30081_,33001_";2;"30,33";9,0980417;48,7360602;
"Heerstraße";"Heerstraße";"2593";"de:08111:2593";08111000;"Stuttgart";"Stuttgart";"S";"022";"20,1";"Bus;Nachtbus";"81,N1";"30081_,33001_";2;"30,33";9,0982635;48,7313390;
"Degerloch Albstraße";"Degerloch Albstraße";"2594";"de:08111:2594";08111000;"Stuttgart";"Stuttgart";"S";"920";"20,1";"Stadtbahn";"U5,U6,U8,U12";"20005_,20006_,20008_,20012_";4;"20";9,1633711;48,7464170;
"Vaihingen Rathaus";"Vaihingen Rathaus";"2595";"de:08111:2595";08111000;"Stuttgart";"Stuttgart";"S";"022";"20,1";"Bus;Nachtbus";"82,N1";"30082_,33001_";2;"30,33";9,1094642;48,7311760;
"Am Schattwald";"Am Schattwald";"2596";"de:08111:2596";08111000;"Stuttgart";"Stuttgart";"S";"237";"20,36,37,1,2";"Bus;Nachtbus";"81,84,91,92,747,748,X74,N1,N63";"30081_,30084_,30091_,30092_,31747_,31748_,31X74_,33001_,34063_";9;"30,31,33,34";9,0837118;48,7517544;
"Kautt und Bux";"Kautt und Bux";"2598";"de:08111:2598";08111000;"Stuttgart";"Stuttgart";"S";"322";"20,1";"Bus";"80";"30080_";1;"30";9,1185021;48,7246475;
"Heßbrühl";"Heßbrühl";"2599";"de:08111:2599";08111000;"Stuttgart";"Stuttgart";"S";"322";"20,1";"Bus;Stadtbahn";"U12,80";"20012_,30080_";2;"20,30";9,1207399;48,7226488;
"Schulze-Delitzsch-Straße";"Schulze-Delitzsch-Str.";"2600";"de:08111:2600";08111000;"Stuttgart";"Stuttgart";"S";"322";"20,1";"Bus";"80";"30080_";1;"30";9,1272176;48,7205555;
"Industriestraße";"Industriestraße";"2601";"de:08111:2601";08111000;"Stuttgart";"Stuttgart";"S";"322";"20,1";"Bus";"80";"30080_";1;"30";9,1285554;48,7228651;
"Vaihingen Alter Friedhof";"Vaihingen Alter Friedhof";"2602";"de:08111:2602";08111000;"Stuttgart";"Stuttgart";"S";"022";"20,1";"Bus;Nachtbus";"82,N1";"30082_,33001_";2;"30,33";9,1073262;48,7357192;
"Schranne";"Schranne";"2603";"de:08111:2603";08111000;"Stuttgart";"Stuttgart";"S";"022";"20,1";"Bus;Nachtbus";"82,84,91,92,747,748,X74,N1,N63";"30082_,30084_,30091_,30092_,31747_,31748_,31X74_,33001_,34063_";9;"30,31,33,34";9,1037380;48,7426916;
"Knappenweg";"Knappenweg";"2604";"de:08111:2604";08111000;"Stuttgart";"Stuttgart";"S";"022";"20,1";"Bus;Nachtbus";"82,N1";"30082_,33001_";2;"30,33";9,1133581;48,7459378;
"Dachswald";"Dachswald";"2605";"de:08111:2605";08111000;"Stuttgart";"Stuttgart";"S";"022";"20,1";"Bus;Nachtbus";"82,N1";"30082_,33001_";2;"30,33";9,1210043;48,7477644;
"Elsental";"Elsental";"2609";"de:08111:2609";08111000;"Stuttgart";"Stuttgart";"S";"022";"20,1";"Bus;Nachtbus";"82,N1";"30082_,33001_";2;"30,33";9,1211782;48,7465772;
"Hans-Rehn-Stift";"Hans-Rehn-Stift";"2610";"de:08111:2610";08111000;"Stuttgart";"Stuttgart";"S";"138";"20,38,1,2";"Bus";"82";"30082_";1;"30";9,0968544;48,7196590;
"Thingstraße";"Thingstraße";"2611";"de:08111:2611";08111000;"Stuttgart";"Stuttgart";"S";"138";"20,38,1,2";"Bus;Nachtbus";"82,N10";"30082_,33010_";2;"30,33";9,0977187;48,7168256;
"Osterbronnstraße";"Osterbronnstraße";"2612";"de:08111:2612";08111000;"Stuttgart";"Stuttgart";"S";"138";"20,38,1,2";"Bus;Nachtbus";"81,N10";"30081_,33010_";2;"30,33";9,1120736;48,7187459;
"Galileistraße";"Galileistraße";"2613";"de:08111:2613";08111000;"Stuttgart";"Stuttgart";"S";"322";"20,1";"Bus;Nachtbus;Stadtbahn";"U12,81,N10";"20012_,30081_,33010_";3;"20,30,33";9,1180539;48,7190186;
"Dürrlewang (bis 12.05.2016)";"Dürrlewang (bis 12.05.2016)";"2614";"de:08111:2614";08111000;"Stuttgart";"Stuttgart";"S";"322";"20,1";"Bus";"81";"30081_";1;"30";9,1221928;48,7164964;
"Am Ochsenwald";"Am Ochsenwald";"2615";"de:08111:2615";08111000;"Stuttgart";"Stuttgart";"S";"138";"20,38,1,2";"Bus;Nachtbus";"82,N10";"30082_,33010_";2;"30,33";9,0914746;48,7207425;
"Rohrer Höhe";"Rohrer Höhe";"2616";"de:08111:2616";08111000;"Stuttgart";"Stuttgart";"S";"138";"20,38,1,2";"Bus;Nachtbus";"82,N10";"30082_,33010_";2;"30,33";9,0918645;48,7184042;
"Holderäcker";"Holderäcker";"2617";"de:08111:2617";08111000;"Stuttgart";"Stuttgart";"S";"736";"20,36,1,2";"Bus";"90";"30090_";1;"30";9,1014963;48,8240385;
"Hausenring";"Hausenring";"2619";"de:08111:2619";08111000;"Stuttgart";"Stuttgart";"S";"321";"20,1";"Bus";"90";"30090_";1;"30";9,0822918;48,8143602;
"Gerlinger Straße";"Gerlinger Straße";"2620";"de:08111:2620";08111000;"Stuttgart";"Stuttgart";"S";"321";"20,1";"Bus;Nachtbus";"90,N3";"30090_,33003_";2;"30,33";9,0861046;48,8145822;
"Ditzinger Straße";"Ditzinger Straße";"2621";"de:08111:2621";08111000;"Stuttgart";"Stuttgart";"S";"321";"20,1";"Bus";"90";"30090_";1;"30";9,0969222;48,8179097;
"Flachter Straße";"Flachter Straße";"2623";"de:08111:2623";08111000;"Stuttgart";"Stuttgart";"S";"221";"20,1";"Bus";"90";"30090_";1;"30";9,1064985;48,8196188;
"Weilimdorf Bf (Unterführung)";"Weilimdorf Bf (Unterführung)";"2624";"de:08111:2624";08111000;"Stuttgart";"Stuttgart";"S";"736";"20,36,1,2";"Bus";"90";"30090_";1;"30";9,0968066;48,8215247;
"Bergstraße";"Korntal Bergstraße";"2626";"de:08118:2626";08118080;"Korntal-Münchingen";"Korntal";"LB";"136";"20,36,1,2";"Bus";"90,612";"30090_,31612_";2;"30,31";9,1263238;48,8297869;
"Stadthalle";"Korntal Stadthalle";"2627";"de:08118:2627";08118080;"Korntal-Münchingen";"Korntal";"LB";"136";"20,36,1,2";"Bus";"90,612";"30090_,31612_";2;"30,31";9,1199765;48,8296409;
"Tachenbergstraße";"Korntal Tachenbergstraße";"2628";"de:08118:2628";08118080;"Korntal-Münchingen";"Korntal";"LB";"136";"20,36,1,2";"Bus";"90";"30090_";1;"30";9,1243947;48,8262820;
"Huttenstraße";"Huttenstraße";"2629";"de:08111:2629";08111000;"Stuttgart";"Stuttgart";"S";"221";"20,1";"Bus";"90";"30090_";1;"30";9,1167231;48,8187456;
"Greutterstraße";"Greutterstraße";"2630";"de:08111:2630";08111000;"Stuttgart";"Stuttgart";"S";"221";"20,1";"Bus";"90";"30090_";1;"30";9,1211045;48,8229854;
"Bahnhof (Warthstraße)";"Korntal Bf (Warthstr.)";"2631";"de:08118:2631";08118080;"Korntal-Münchingen";"Korntal";"LB";"136";"20,36,1,2";"Bus";"90,612";"30090_,31612_";2;"30,31";9,1211701;48,8275804;
"Hauffstraße";"Korntal Hauffstraße";"2632";"de:08118:2632";08118080;"Korntal-Münchingen";"Korntal";"LB";"136";"20,36,1,2";"Bus";"90,612";"30090_,31612_";2;"30,31";9,1166809;48,8298331;
"Mönsheimer Weg";"Mönsheimer Weg";"2635";"de:08111:2635";08111000;"Stuttgart";"Stuttgart";"S";"321";"20,1";"Bus";"90";"30090_";1;"30";9,0865577;48,8167580;
"Jahnstraße";"Korntal Jahnstraße";"2636";"de:08118:2636";08118080;"Korntal-Münchingen";"Korntal";"LB";"136";"20,36,1,2";"Bus";"612";"31612_";1;"31";9,1341981;48,8304884;
"Weilemer Pfad";"Weilemer Pfad";"2637";"de:08111:2637";08111000;"Stuttgart";"Stuttgart";"S";"321";"20,1";"Bus";"90";"30090_";1;"30";9,0900839;48,8164945;
"Kallenberg Kirche";"Münchingen Kallenberg Kirche";"2638";"de:08118:2638";08118080;"Korntal-Münchingen";"Münchingen";"LB";"836";"20,34,36,1,2";"Bus";"612A";"31612a";1;"31";9,1299413;48,8486307;
"Maicklerstraße";"Fellbach Maicklerstraße";"2639";"de:08119:2639";08119020;"Fellbach";"Fellbach";"WN";"132";"20,32,1,2";"Bus";"215";"31215_";1;"31";9,2773356;48,8184342;
"Wernerstraße";"Fellbach Wernerstraße";"2640";"de:08119:2640";08119020;"Fellbach";"Fellbach";"WN";"132";"20,32,1,2";"Bus;Nachtbus";"60,210,215,N6";"30060_,31210_,31215_,33006_";4;"30,31,33";9,2728793;48,8177975;
