id,name,municipality,locality,modes,lines,line_count,selection_reason
de:08116:2017,Fildorado,Filderstadt,Bonlanden,Bus,"809A, 812, 813, 815, 816A, 818A",6,surrounding_city_many_lines
de:08116:2071,Fleinsbach,Filderstadt,Bernhausen,Bus,"76, 805, 807, 808, 809, 809A, 812, 813, 814, 815, 816A, 818",12,surrounding_city_many_lines
de:08116:6727,Griebenäcker,Filderstadt,Plattenhardt,Bus; Nachtbus,"809A, 814, 816A, 818, 818A, N89",6,surrounding_city_many_lines
de:08116:2086,Hasenheim,Filderstadt,Harthausen,Bus; Nachtbus,"807, 809, 809A, 816A, N89",5,surrounding_city_many_lines
de:08116:2019,Hauptstraße,Filderstadt,Bonlanden,Bus,"809A, 812, 813, 815, 816A",5,surrounding_city_many_lines
de:08116:2024,Kirche,Filderstadt,Harthausen,Bus; Nachtbus,"X7, 77, 805, 807, 809, 809A, 816A, N89",8,surrounding_city_many_lines
de:08116:2091,Kreuzäcker,Filderstadt,Bonlanden,Bus; Nachtbus,"77, 809A, 816A, 818A, N89",5,surrounding_city_many_lines
de:08116:6735,Kronenbrunnen,Filderstadt,Plattenhardt,Bus,"76, 77, 812, 813, 816A, 818A",6,surrounding_city_many_lines
de:08116:2023,Linde,Filderstadt,Harthausen,Bus; Nachtbus,"X7, 77, 805, 807, 809, 809A, 816A, N89",8,surrounding_city_many_lines
de:08116:2090,Luftfrachtzentrum,Filderstadt,Bernhausen,Bus,"811, 812, 813",3,surrounding_city_keyword
de:08116:2078,Marktstraße,Filderstadt,Bonlanden,Bus; Nachtbus,"X7, 76, 77, 809A, 816A, 818A, N89",7,surrounding_city_many_lines
de:08116:5798,Metzinger Straße,Filderstadt,Bonlanden,Bus; Nachtbus,"X7, 76, 77, 809A, 816A, 818A, N89",7,surrounding_city_many_lines
de:08116:2021,Nord,Filderstadt,Bonlanden,Bus,"76, 809A, 812, 813, 815, 816A",6,surrounding_city_many_lines
de:08116:1997,Raiffeisenstraße,Filderstadt,Bonlanden,Bus,"805, 807, 808, 809, 809A, 816A",6,surrounding_city_many_lines
de:08116:2052,Rainäckerstraße,Filderstadt,Bonlanden,Bus,"76, 809A, 813, 815, 816A",5,surrounding_city_many_lines
