id,name,name_with_place,municipality,locality,county,tariff_zones,modes,lines,line_count,longitude,latitude
de:08117:7674,Büchenbronn Königseiche,Ebersb.(F) Büchenbr. Kgs-eiche,Ebersbach an der Fils,Ebersbach (F),GP,4,Bus,"916A, 917",2,9.5161604,48.7463462
de:08117:7672,Büchenbronn Siedlung,Ebersb.(F) Büchenbr. Siedlung,Ebersbach an der Fils,Ebersbach (F),GP,4,Bus; Ruftaxi,"916A, 917, RT917",3,9.5079022,48.7310867
de:08117:8012,Büchenbronner Straße,Ebersb.(F) Büchenbronner Str.,Ebersbach an der Fils,Ebersbach (F),GP,4,Bus,"916A, 917",2,9.5185421,48.7175056
de:08111:69,Büchsenstraße,Büchsenstraße,Stuttgart,Stuttgart,S,"10, 1",Bus,47,1,9.1745612,48.7774962
de:08119:3689,Bühl,Korb Bühl,Korb,Korb,WN,"32, 42, 43, 2, 3",Bus; Nachtbus,"209, N31",2,9.367823,48.8372802
de:08115:4787,Bühlenstraße,Holzgerlingen Bühlenstr.,Holzgerlingen,Holzgerlingen,BB,"58, 4",Bus,"756, 757",2,9.0265386,48.645167
de:08115:4710,Bühler Straße,Böblingen Bühler Straße,Böblingen,Böblingen,BB,"48, 3",Bus; Nachtbus,"703, 721, 721A, N73",4,8.9989499,48.6676606
de:08119:4950,Bühlfeld,Oppenweiler Bühlfeld,Oppenweiler,Oppenweiler,WN,"63, 64, 5",Bus,"390, 390A, 391",3,9.456418,48.9804696
de:08115:4817,Bühläcker,Schönaich Bühläcker,Schönaich,Schönaich,BB,"58, 4",Bus,"757, 760A, 761, 761A",4,9.0651012,48.6523276
de:08119:3771,Bühläckerstraße,Stetten i. R. Bühläckerstr.,Kernen im Remstal,Stetten (i. R.),WN,2,Bus,219,1,9.3465308,48.7957658
de:08119:2376,Bühnerstraße,Schmiden Bühnerstraße,Fellbach,Schmiden,WN,"20, 32, 1, 2",Bus,"58, 60, 205, 214",4,9.2631861,48.8337544
de:08117:2045,Bünzwanger Straße,Albershausen Bünzwanger Str.,Albershausen,Albershausen,GP,"4, 5",Bus,"911, 911A, 916A",3,9.5627556,48.6961025
de:08117:9825,Bünzwanger Straße,Uhingen Bünzwanger Straße,Uhingen,Uhingen,GP,"4, 5",Bus; Nachtbus,"916, 916A, N91",3,9.5739708,48.7051925
de:08119:5272,Bürg,Bürg,Winnenden,Bürg,WN,"43, 3",Bus,"337, 337A",2,9.4407172,48.8824442
de:08117:2061,Bürgerhaus,Aichelberg Bürgerhaus,Aichelberg,Aichelberg (GP),GP,5,Bus; Nachtbus; Ruftaxi,"920, 920A, 924, 924A, N92, RT920",6,9.5653361,48.6354438
de:08116:2980,Bürgerhaus,Beuren Bürgerhaus,Beuren,Beuren (ES),ES,"70, 71, 5",Bus,"177, 178, 179, 199",4,9.4077111,48.5688452
de:08115:3215,Bürgerhaus,Maichingen Bürgerhaus,Sindelfingen,Maichingen,BB,"47, 48, 3",Bus,"702, 704, 704A, 705, 705A, 748A, 769",7,8.9658282,48.7220064
de:08116:4114,Bürgerhaus RSKN,Rüdern Bürgerhaus RSKN,Esslingen am Neckar,Rüdern,ES,"31, 2",Bus; Nachtbus,"109, 132, N12",3,9.2910196,48.7618834
de:08236:2901,Bürgersaal,Wiernsheim Bürgersaal,Wiernsheim,Wiernsheim,PFLA,,Bus,"653, 653A, 660, 765",4,8.8484131,48.8906084
de:08116:4382,Bürgersee,Kirchheim (T) Bürgersee,Kirchheim unter Teck,Kirchheim (T),ES,"61, 5",Bus,"166, 166A",2,9.4079947,48.6342839
de:08235:4590,Bürgerzentrum,Bad Liebenzell Bürgerzentrum,Bad Liebenzell,Bad Liebenzell,CW,,Bus,880,1,8.7323579,48.7715289
de:08116:6970,Bürgerzentrum,Hegenlohe Bürgerzentrum,Lichtenwald,Hegenlohe,ES,"51, 4",Bus; Nachtbus,"262, N11",2,9.4795645,48.738717
de:08119:3627,Bürgerzentrum (Hallenbad),Waibl. Bürgerz. (Hallenbad),Waiblingen,Waiblingen,WN,"32, 2",Bus; Nachtbus,"201, 204, 207, 209, N21, N24, N31",7,9.322494,48.831814
de:08119:5145,Bürgerzentrum (Remsbrücke),Waibl. Bürgerz. (Remsbrücke),Waiblingen,Waiblingen,WN,"32, 2",Bus; Nachtbus,"201, 208, N24",3,9.3208409,48.8331585
de:08136:7202,Bürglesrain,Mutlangen Bürglesrain,Mutlangen,Mutlangen,AA,,Bus,"266A, 268",2,9.7939839,48.8296903
de:08111:2590,Büsnauer Platz,Büsnauer Platz,Stuttgart,Stuttgart,S,"20, 36, 37, 1, 2",Bus; Nachtbus,"81, 91, N1",3,9.080309,48.7498145
de:08115:4602,Büsnauer Straße 41,Warmbronn Büsnauer Str. 41,Leonberg,Warmbronn,BB,"36, 37, 46, 47, 2, 3",Bus; Nachtbus,"631, 631A, 632, 632A, 747, N63",6,8.9932497,48.763637
